date,open,high,low,close
03/08/2010,53.89,54.68,53.5,54.23
03/05/2010,52.33,54.15,51.72,53.94
03/04/2010,50.85,52.03,50.37,51.77
03/03/2010,50.91,51.57,50.41,50.75
03/02/2010,50.18,52.15,50.1,50.97
03/01/2010,49.63,50.32,49.28,50.27
02/26/2010,48.97,49.73,48.37,49.51
02/25/2010,47.81,49.21,47.5,49.08
02/24/2010,48.18,49.24,48.05,48.8
02/23/2010,47.96,48.86,47.5,48.16
02/22/2010,48.64,48.91,48.24,48.37
02/19/2010,48.27,48.74,48.04,48.5
02/18/2010,47.39,48.5,47.04,48.26
02/17/2010,47.26,47.95,46.85,47.4
02/16/2010,46.82,47.12,46.51,47.11
02/12/2010,46.16,46.58,45.47,46.54
02/11/2010,45.47,46.52,45.01,46.45
02/10/2010,45.77,45.89,44.69,45.43
02/09/2010,44.85,45.94,44.8,45.67
02/08/2010,44.66,45.25,43.93,44.25
02/05/2010,44.07,44.43,42.76,44.4
02/04/2010,45.79,45.9,44.01,44.01
02/03/2010,45.62,46.45,45.03,46.29
02/02/2010,45.71,46.07,44.96,45.64
02/01/2010,44.94,45.75,44.3,45.58
01/29/2010,46.8,46.84,45.0,45.41
01/28/2010,46.82,46.89,45.31,46.31
01/27/2010,46.88,47.25,45.3,46.66
01/26/2010,48.84,48.95,46.7,47.29
01/25/2010,42.0,42.49,41.3,42.0
01/22/2010,43.69,43.69,41.09,41.58
01/21/2010,45.18,45.69,43.25,43.94
01/20/2010,46.06,46.2,44.53,44.98
01/19/2010,45.9,47.16,45.77,46.69
01/15/2010,47.24,47.5,45.46,45.92
01/14/2010,45.26,47.6,45.05,47.45
01/13/2010,44.81,45.8,43.78,45.44
01/12/2010,44.29,44.96,43.55,44.63
01/11/2010,45.47,45.67,44.27,44.83
01/08/2010,45.2,45.37,44.51,45.25
01/07/2010,45.24,45.81,44.42,45.14
01/06/2010,45.33,46.46,45.06,45.67
01/05/2010,43.72,45.5,43.19,45.25
01/04/2010,43.15,43.8,43.0,43.57
12/31/2009,42.77,43.23,42.27,42.38
12/30/2009,42.76,43.19,42.48,42.9
12/29/2009,42.82,43.42,42.72,42.86
12/28/2009,43.81,43.93,42.62,42.9
12/24/2009,43.18,44.0,43.18,43.77
12/23/2009,42.5,43.25,42.11,43.18
12/22/2009,42.64,42.88,42.08,42.3
12/21/2009,42.07,42.97,42.07,42.56
12/18/2009,41.31,42.3,41.12,42.1
12/17/2009,41.26,41.45,40.84,40.95
